Timestamp,Person,Emotion
1700487399.6231215,person138,happy
1700487399.782122,person139,happy
1700487399.940117,person140,neutral
1700487400.1491103,person141,happy
1700487400.3681076,person142,happy
1700487400.6821003,person143,happy
1700487400.841095,person144,happy
1700487401.0080895,person145,happy
1700487401.1760886,person146,happy
1700487401.341113,person147,neutral
1700487401.6350772,person148,happy
1700487401.7890742,person149,happy
1700487401.9570699,person150,happy
1700487402.1150687,person151,happy
1700487402.408059,person152,sad
1700487402.5610554,person153,happy
1700487402.726052,person154,neutral
1700487402.8810508,person155,happy
1700487403.0570474,person156,happy
1700487403.3660364,person157,happy
1700487403.6310332,person158,happy
1700487403.8325398,person159,happy
1700487404.0075383,person160,neutral
1700487404.2265637,person161,neutral
1700487404.703281,person162,happy
1700487404.9676504,person163,happy
1700487405.1781728,person164,happy
1700487405.3791988,person165,happy
1700487405.78523,person166,happy
1700487406.0282242,person167,angry
1700487406.217254,person168,neutral
1700487406.3952827,person169,happy
1700487406.704306,person170,happy
1700487406.8733394,person171,neutral
1700487407.0663345,person172,happy
1700487407.2993686,person173,happy
1700487407.775313,person174,neutral
1700487408.0954378,person175,neutral
1700487408.351455,person176,neutral
1700487408.5980446,person177,neutral
1700487408.85394,person178,neutral
1700487409.1189945,person179,neutral
1700487409.3830674,person180,neutral
1700487409.65689,person181,neutral
1700487409.9164352,person182,neutral
1700487410.1824522,person183,neutral
1700487410.4429982,person184,neutral
1700487410.685534,person185,neutral
1700487410.9501472,person186,neutral
1700487411.2195191,person187,neutral
1700487411.4805398,person188,neutral
1700487411.7275584,person189,neutral
1700487412.068186,person190,neutral
1700487412.3463063,person191,neutral
1700487412.6113303,person192,neutral
1700487413.0950103,person193,neutral
1700487413.3510294,person194,neutral
1700487413.6035724,person195,neutral
1700487413.8556097,person196,neutral
1700487414.1141775,person197,neutral
1700487414.3742805,person198,neutral
1700487414.6273015,person199,neutral
1700487414.8772948,person200,neutral
1700487415.1374028,person201,neutral
1700487415.4102085,person202,neutral
1700487415.6632307,person203,neutral
1700487415.9272764,person204,neutral
1700487416.180326,person205,neutral
1700487416.5213754,person206,neutral
1700487416.8395133,person207,neutral
1700487417.1231005,person208,neutral
1700487417.401209,person209,neutral
1700487417.6884518,person210,neutral
1700487417.9644675,person211,neutral
1700487418.228516,person212,neutral
1700487418.4775403,person213,neutral
1700487418.734559,person214,neutral
1700487418.9855928,person215,neutral
1700487419.249247,person216,neutral
1700487419.5022662,person217,neutral
1700487419.7642946,person218,neutral
1700487420.0243742,person219,neutral
1700487420.2933998,person220,neutral
1700487420.54545,person221,neutral
1700487420.8885648,person222,neutral
1700487421.1689866,person223,neutral
1700487421.4268408,person224,neutral
1700487421.6863728,person225,neutral
1700487421.9423974,person226,neutral
1700487422.1924217,person227,neutral
1700487422.447455,person228,neutral
1700487422.7284853,person229,neutral
1700487422.9875028,person230,neutral
1700487423.239405,person231,neutral
1700487423.4973938,person232,neutral
1700487423.7534068,person233,neutral
1700487424.0234323,person234,neutral
1700487424.2940574,person235,neutral
